,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
153870,0.473,3.568,-1.484,4.84,0.4328,-0.29,0.0,0.2,13.36,10.53,9.155,8.426,8.015,6.747000000000001,6.147,5.934,8.926,5.882000000000001,5.811,5868793.0,4290
153871,0.483,3.57,-1.4580000000000002,4.832,0.4416,-0.29,0.0,0.2,13.27,10.44,9.073,8.354,7.949,6.685,6.082999999999999,5.871,8.85,5.822,5.754,5868793.0,4290
153916,0.4629,3.5669999999999997,-1.511,4.849,0.4241,-0.29,0.0,0.3,13.46,10.62,9.238,8.499,8.081,6.81,6.211,5.997000000000001,9.002,5.943,5.87,5868793.0,4290
153917,0.473,3.569,-1.485,4.84,0.4328,-0.29,0.0,0.3,13.36,10.53,9.156,8.427,8.015,6.747999999999999,6.147,5.934,8.926,5.882999999999999,5.813,5868793.0,4290
153918,0.483,3.57,-1.4580000000000002,4.832,0.4415,-0.29,0.0,0.3,13.27,10.44,9.073,8.355,7.95,6.687,6.082999999999999,5.871,8.851,5.824,5.755,5868793.0,4290
153964,0.4629,3.5669999999999997,-1.5119999999999998,4.849,0.4241,-0.29,0.0,0.4,13.46,10.62,9.238,8.5,8.082,6.811,6.211,5.997999999999999,9.002,5.944,5.872000000000001,5868793.0,4290
153965,0.473,3.569,-1.485,4.841,0.4327,-0.29,0.0,0.4,13.37,10.53,9.156,8.427,8.016,6.749,6.147,5.935,8.927,5.8839999999999995,5.814,5868793.0,4290
153966,0.483,3.57,-1.459,4.832,0.4415,-0.29,0.0,0.4,13.27,10.44,9.073,8.355,7.95,6.688,6.084,5.872000000000001,8.851,5.825,5.757000000000001,5868793.0,4290
154013,0.4629,3.5669999999999997,-1.5119999999999998,4.849,0.4241,-0.29,0.0,0.5,13.46,10.62,9.238,8.5,8.083,6.812,6.212000000000001,5.997999999999999,9.003,5.945,5.872999999999999,5868793.0,4290
154014,0.473,3.569,-1.485,4.841,0.4327,-0.29,0.0,0.5,13.37,10.53,9.156,8.427999999999999,8.017000000000001,6.75,6.148,5.935,8.927,5.885,5.816,5868793.0,4290
154062,0.4629,3.5669999999999997,-1.5119999999999998,4.849,0.4241,-0.29,0.0,0.6,13.46,10.62,9.238,8.5,8.083,6.812,6.211,5.997999999999999,9.003,5.945,5.874,5868793.0,4290
