,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
532681,0.181,3.5039999999999996,-2.401,5.066,0.2064,0.22,0.0,12.0,16.72,13.81,12.35,11.07,10.32,8.825,8.308,8.058,11.73,7.888,7.7620000000000005,,
532682,0.1911,3.5060000000000002,-2.356,5.051,0.2158,0.22,0.0,12.0,16.57,13.67,12.22,10.95,10.21,8.717,8.198,7.95,11.6,7.7829999999999995,7.657,,
532683,0.2011,3.5069999999999997,-2.312,5.037,0.2251,0.22,0.0,12.0,16.42,13.54,12.09,10.83,10.1,8.612,8.092,7.846,11.48,7.682,7.556,,
532733,0.1709,3.503,-2.448,5.083,0.1969,0.22,0.0,12.1,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,8.0,7.872999999999999,,
532734,0.181,3.5039999999999996,-2.4,5.066,0.2065,0.22,0.0,12.1,16.72,13.81,12.35,11.07,10.32,8.825,8.307,8.058,11.72,7.8870000000000005,7.761,,
532735,0.1911,3.5060000000000002,-2.356,5.051,0.2158,0.22,0.0,12.1,16.57,13.67,12.22,10.95,10.21,8.717,8.198,7.95,11.6,7.782,7.656000000000001,,
532736,0.2011,3.5069999999999997,-2.312,5.037,0.2252,0.22,0.0,12.1,16.41,13.53,12.09,10.83,10.1,8.612,8.092,7.845,11.48,7.681,7.555,,
532786,0.1709,3.503,-2.448,5.082,0.1969,0.22,0.0,12.2,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,8.0,7.872999999999999,,
532787,0.181,3.5039999999999996,-2.4,5.066,0.2065,0.22,0.0,12.2,16.72,13.81,12.35,11.07,10.32,8.824,8.306000000000001,8.057,11.72,7.8870000000000005,7.76,,
532788,0.1911,3.5060000000000002,-2.356,5.051,0.2159,0.22,0.0,12.2,16.57,13.67,12.22,10.95,10.21,8.716000000000001,8.197000000000001,7.95,11.6,7.782,7.656000000000001,,
532789,0.2011,3.5069999999999997,-2.312,5.0360000000000005,0.2252,0.22,0.0,12.2,16.41,13.53,12.09,10.83,10.1,8.612,8.092,7.845,11.48,7.681,7.555,,
532839,0.1709,3.503,-2.448,5.082,0.1969,0.22,0.0,12.3,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,8.0,7.872999999999999,,
532840,0.181,3.5039999999999996,-2.4,5.066,0.2066,0.22,0.0,12.3,16.72,13.81,12.35,11.07,10.32,8.823,8.305,8.056000000000001,11.72,7.886,7.7589999999999995,,
532841,0.1911,3.5060000000000002,-2.355,5.051,0.2159,0.22,0.0,12.3,16.57,13.67,12.22,10.95,10.21,8.716000000000001,8.197000000000001,7.949,11.6,7.782,7.656000000000001,,
532842,0.2011,3.5069999999999997,-2.312,5.0360000000000005,0.2252,0.22,0.0,12.3,16.41,13.53,12.09,10.83,10.1,8.612,8.091000000000001,7.845,11.48,7.681,7.555,,
532892,0.1709,3.503,-2.448,5.082,0.1969,0.22,0.0,12.4,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,7.999,7.872999999999999,,
532893,0.181,3.5039999999999996,-2.399,5.065,0.2067,0.22,0.0,12.4,16.72,13.81,12.35,11.07,10.32,8.822000000000001,8.304,8.055,11.72,7.885,7.757999999999999,,
532894,0.1911,3.5060000000000002,-2.355,5.051,0.2159,0.22,0.0,12.4,16.57,13.67,12.22,10.95,10.21,8.715,8.197000000000001,7.949,11.6,7.781000000000001,7.655,,
532895,0.2011,3.5069999999999997,-2.312,5.0360000000000005,0.2253,0.22,0.0,12.4,16.41,13.53,12.09,10.83,10.1,8.611,8.091000000000001,7.845,11.48,7.68,7.555,,
532945,0.1709,3.503,-2.448,5.082,0.197,0.22,0.0,12.5,16.89,13.95,12.49,11.2,10.44,8.94,8.422,8.172,11.85,7.999,7.872999999999999,,
532946,0.181,3.5039999999999996,-2.399,5.065,0.2067,0.22,0.0,12.5,16.72,13.81,12.35,11.07,10.32,8.822000000000001,8.304,8.055,11.72,7.8839999999999995,7.757999999999999,,
532947,0.1911,3.5060000000000002,-2.355,5.05,0.216,0.22,0.0,12.5,16.56,13.67,12.22,10.95,10.21,8.715,8.196,7.9479999999999995,11.6,7.781000000000001,7.655,,
532948,0.2011,3.5069999999999997,-2.312,5.0360000000000005,0.2253,0.22,0.0,12.5,16.41,13.53,12.09,10.83,10.1,8.611,8.091000000000001,7.843999999999999,11.48,7.68,7.553999999999999,,
532998,0.1709,3.503,-2.447,5.082,0.197,0.22,0.0,12.6,16.89,13.95,12.49,11.2,10.44,8.939,8.422,8.172,11.85,7.999,7.872000000000001,,
532999,0.181,3.5039999999999996,-2.399,5.065,0.2067,0.22,0.0,12.6,16.72,13.81,12.35,11.07,10.32,8.822000000000001,8.304,8.055,11.72,7.8839999999999995,7.757999999999999,,
533000,0.1911,3.5060000000000002,-2.355,5.05,0.216,0.22,0.0,12.6,16.56,13.67,12.22,10.95,10.21,8.714,8.196,7.9479999999999995,11.6,7.78,7.654,,
533001,0.2011,3.5069999999999997,-2.312,5.0360000000000005,0.2254,0.22,0.0,12.6,16.41,13.53,12.09,10.83,10.1,8.611,8.09,7.843999999999999,11.48,7.68,7.553999999999999,,
533051,0.1709,3.503,-2.447,5.082,0.197,0.22,0.0,12.7,16.89,13.95,12.49,11.19,10.44,8.939,8.422,8.172,11.85,7.997999999999999,7.872000000000001,,
533052,0.181,3.5039999999999996,-2.399,5.065,0.2067,0.22,0.0,12.7,16.72,13.81,12.35,11.07,10.32,8.822000000000001,8.304,8.055,11.72,7.8839999999999995,7.757999999999999,,
533053,0.1911,3.5060000000000002,-2.355,5.05,0.2161,0.22,0.0,12.7,16.56,13.67,12.22,10.95,10.21,8.714,8.195,7.947,11.6,7.78,7.654,,
533054,0.2011,3.5069999999999997,-2.312,5.0360000000000005,0.2254,0.22,0.0,12.7,16.41,13.53,12.09,10.83,10.1,8.61,8.09,7.843999999999999,11.48,7.68,7.553999999999999,,
533104,0.1709,3.503,-2.447,5.082,0.197,0.22,0.0,12.8,16.89,13.95,12.49,11.19,10.44,8.939,8.421,8.171,11.85,7.997999999999999,7.872000000000001,,
533105,0.181,3.5039999999999996,-2.399,5.065,0.2068,0.22,0.0,12.8,16.72,13.81,12.35,11.07,10.32,8.822000000000001,8.304,8.055,11.72,7.8839999999999995,7.757999999999999,,
533106,0.1911,3.5060000000000002,-2.354,5.05,0.2161,0.22,0.0,12.8,16.56,13.67,12.21,10.95,10.21,8.713,8.193999999999999,7.947,11.6,7.779,7.653,,
533107,0.2011,3.5069999999999997,-2.312,5.035,0.2255,0.22,0.0,12.8,16.41,13.53,12.09,10.83,10.1,8.61,8.09,7.843,11.48,7.678999999999999,7.553,,
533157,0.1709,3.503,-2.447,5.082,0.1971,0.22,0.0,12.9,16.89,13.95,12.48,11.19,10.44,8.937999999999999,8.421,8.171,11.85,7.997000000000001,7.871,,
533158,0.181,3.5039999999999996,-2.399,5.065,0.2068,0.22,0.0,12.9,16.72,13.81,12.35,11.07,10.32,8.822000000000001,8.304,8.055,11.72,7.8839999999999995,7.757999999999999,,
533159,0.1911,3.5060000000000002,-2.354,5.05,0.2162,0.22,0.0,12.9,16.56,13.66,12.21,10.94,10.21,8.713,8.193999999999999,7.946000000000001,11.6,7.779,7.653,,
533160,0.2011,3.5069999999999997,-2.311,5.035,0.2255,0.22,0.0,12.9,16.41,13.53,12.09,10.83,10.1,8.609,8.089,7.843,11.48,7.678999999999999,7.553,,
