KOI KIC Teff ETeff eTeff Fe/H e_Fe/H M/H e_M/H SpType Mstar e_Mstar Rstar e_Rstar Dis Fe/H-T e_Fe/H-T Fe/H-M e_Fe/H-M M/H-M e_M/H-M
2057 9573685 3974 117 182 -0.05 0.15 -0.04 0.14 M0V 0.59 0.06 0.56 0.06 189 +0.02 0.15 +0.27 0.16 +0.13 0.16
1085 10118816 3979 262 87 -0.33 0.13 -0.24 0.13 M0V 0.55 0.06 0.53 0.06 105 -0.31 0.14 -0.30 0.14 -0.15 0.13
531 10395543 4004 40 169 +0.11 0.13 +0.08 0.12 M0V 0.61 0.04 0.59 0.04 157 +0.14 0.13 +0.53 0.15 +0.48 0.16
2764 10073672 4045 945 140 -0.16 0.17 -0.12 0.15 M0V 0.59 0.11 0.57 0.10 214 X X +0.05 0.21 +0.01 0.23
2845 10591855 4342 704 530 +0.32 0.18 +0.22 0.15 M0V 0.72 0.12 0.67 0.11 529 +0.21 0.17 -0.00 0.36 -0.05 0.44
641 5131180 X X X X X X X X X X X X X X X X X X X
977 11192141 X X X X X X X X X X X X X X X X X X X
1393 9202151 X X X X X X X X X X X X X X X X X X X
2417 9654468 X X X X X X X X X X X X X X X X X X X
2418 10027247 X X X X X X X X X X X X X X X X X X X
2992 8509442 X X X X X X X X X X X X X X X X X X X
3140 5978170 X X X X X X X X X X X X X X X X X X X
3414 6023859 X X X X X X X X X X X X X X X X X X X
4087 6106282 X X X X X X X X X X X X X X X X X X X
4463NW 6197344 X X X X X X X X X X X X X X X X X X X
4463SE 6197344 X X X X X X X X X X X X X X X X X X X
